product_id,category_id,product_name,brand,unit_cost,list_price,active_flag
1,1,Apples 1,Daily Best,210.31,307.38,True
2,1,Bananas 1,Daily Best,371.22,496.01,True
3,1,Tomatoes 1,Home Select,724.04,1142.73,True
4,1,Potatoes 1,Urban Choice,608.34,797.69,True
5,1,Onions 1,Daily Best,872.25,1382.28,True
6,1,Spinach 1,Home Select,692.29,973.82,True
7,1,Apples 2,Daily Best,753.75,1038.13,True
8,1,Bananas 2,Daily Best,293.44,375.48,True
9,1,Tomatoes 2,Daily Best,501.69,687.12,True
10,1,Potatoes 2,Home Select,70.79,97.48,True
11,1,Onions 2,Daily Best,366.75,464.3,True
12,1,Spinach 2,Home Select,425.66,558.46,True
13,1,Apples 3,Value Mart,235.91,369.16,True
14,1,Bananas 3,Value Mart,569.64,758.67,True
15,1,Tomatoes 3,Home Select,855.33,1221.31,True
16,1,Potatoes 3,Daily Best,816.38,1078.04,True
17,1,Onions 3,Urban Choice,644.64,849.69,True
18,1,Spinach 3,Daily Best,648.71,830.53,True
19,2,Fresh Milk 1,Home Select,474.21,680.59,True
20,2,Yogurt 1,Urban Choice,674.24,958.32,True
21,2,Cheddar Cheese 1,Daily Best,582.06,782.14,True
22,2,Butter 1,Daily Best,475.66,659.64,True
23,2,Eggs 1,Value Mart,627.54,899.87,True
24,2,Cream 1,Daily Best,61.51,94.07,True
25,2,Fresh Milk 2,Home Select,496.28,656.92,True
26,2,Yogurt 2,Daily Best,138.49,218.55,True
27,2,Cheddar Cheese 2,Daily Best,891.38,1074.86,True
28,2,Butter 2,Daily Best,673.25,887.52,True
29,2,Eggs 2,Urban Choice,536.32,731.16,True
30,2,Cream 2,Value Mart,865.11,1359.0,True
31,2,Fresh Milk 3,Urban Choice,581.59,727.29,True
32,2,Yogurt 3,Value Mart,79.85,104.68,True
33,2,Cheddar Cheese 3,Urban Choice,296.56,437.6,True
34,2,Butter 3,Daily Best,138.03,163.66,True
35,2,Eggs 3,Home Select,567.63,792.55,True
36,2,Cream 3,Home Select,533.78,839.0,True
37,3,White Bread 1,Daily Best,831.45,1049.98,True
38,3,Brown Bread 1,Value Mart,721.69,1054.51,True
39,3,Croissants 1,Value Mart,614.07,872.14,True
40,3,Cupcakes 1,Value Mart,255.94,369.5,True
41,3,Burger Buns 1,Value Mart,743.96,921.99,True
42,3,Cookies 1,Home Select,398.38,604.36,True
43,3,White Bread 2,Home Select,116.88,169.13,True
44,3,Brown Bread 2,Value Mart,587.81,776.73,True
45,3,Croissants 2,Home Select,610.87,811.72,True
46,3,Cupcakes 2,Home Select,167.81,218.69,True
47,3,Burger Buns 2,Value Mart,87.48,106.46,True
48,3,Cookies 2,Home Select,254.63,358.28,True
49,3,White Bread 3,Home Select,614.04,962.64,True
50,3,Brown Bread 3,Daily Best,327.69,431.9,True
51,3,Croissants 3,Daily Best,158.99,234.0,True
52,3,Cupcakes 3,Value Mart,457.32,651.98,True
53,3,Burger Buns 3,Home Select,865.12,1286.89,True
54,3,Cookies 3,Home Select,807.18,1029.11,True
55,4,Orange Juice 1,Value Mart,606.14,906.58,True
56,4,Mineral Water 1,Value Mart,348.78,517.27,True
57,4,Green Tea 1,Urban Choice,567.7,772.14,True
58,4,Coffee 1,Urban Choice,356.56,571.9,True
59,4,Cola 1,Home Select,241.88,297.51,True
60,4,Mango Drink 1,Daily Best,144.82,187.91,True
61,4,Orange Juice 2,Urban Choice,828.14,1093.36,True
62,4,Mineral Water 2,Home Select,260.55,384.03,True
63,4,Green Tea 2,Daily Best,167.23,255.45,True
64,4,Coffee 2,Daily Best,214.27,324.33,True
65,4,Cola 2,Urban Choice,525.6,721.54,True
66,4,Mango Drink 2,Urban Choice,716.35,960.43,True
67,4,Orange Juice 3,Home Select,96.2,154.38,True
68,4,Mineral Water 3,Urban Choice,161.19,223.24,True
69,4,Green Tea 3,Daily Best,234.6,311.42,True
70,4,Coffee 3,Home Select,864.59,1376.41,True
71,4,Cola 3,Daily Best,122.07,189.87,True
72,4,Mango Drink 3,Urban Choice,741.6,971.79,True
73,5,Basmati Rice 1,Urban Choice,662.98,992.0,True
74,5,Cooking Oil 1,Value Mart,882.89,1148.83,True
75,5,Flour 1,Home Select,587.78,884.77,True
76,5,Sugar 1,Urban Choice,616.89,815.2,True
77,5,Lentils 1,Urban Choice,195.63,278.14,True
