customer_id,customer_segment,city,signup_date
C00001,Small Business,Rawalpindi,2024-08-13
C00002,Premium,Islamabad,2024-12-01
C00003,Regular,Islamabad,2023-09-23
C00004,Premium,Islamabad,2023-06-27
C00005,Regular,Islamabad,2023-11-30
C00006,Regular,Faisalabad,2025-04-07
C00007,Regular,Rawalpindi,2025-06-09
C00008,Regular,Faisalabad,2025-04-13
C00009,Premium,Islamabad,2024-02-22
C00010,Regular,Lahore,2025-09-30
C00011,Regular,Lahore,2024-08-31
C00012,Family,Karachi,2024-02-10
C00013,Small Business,Peshawar,2024-09-13
C00014,Regular,Rawalpindi,2025-07-18
C00015,Premium,Karachi,2024-04-07
C00016,Family,Islamabad,2023-04-10
C00017,Regular,Karachi,2023-11-23
C00018,Family,Lahore,2025-11-24
C00019,Family,Islamabad,2024-05-09
C00020,Family,Rawalpindi,2023-08-15
C00021,Regular,Islamabad,2025-07-27
C00022,Regular,Karachi,2024-02-03
C00023,Regular,Rawalpindi,2023-12-07
C00024,Regular,Lahore,2023-04-10
C00025,Small Business,Lahore,2025-10-04
C00026,Family,Rawalpindi,2025-06-08
C00027,Family,Faisalabad,2024-02-19
C00028,Regular,Karachi,2024-06-01
C00029,Family,Karachi,2023-09-28
C00030,Regular,Islamabad,2025-10-21
C00031,Regular,Rawalpindi,2025-09-05
C00032,Small Business,Rawalpindi,2023-06-04
C00033,Premium,Karachi,2023-09-16
C00034,Regular,Islamabad,2025-08-07
C00035,Family,Lahore,2023-08-21
C00036,Regular,Karachi,2024-01-18
C00037,Family,Rawalpindi,2025-05-11
C00038,Regular,Rawalpindi,2023-09-09
C00039,Premium,Islamabad,2025-06-20
C00040,Small Business,Islamabad,2024-11-30
C00041,Family,Rawalpindi,2023-07-17
C00042,Regular,Lahore,2023-02-02
C00043,Regular,Faisalabad,2023-07-03
C00044,Regular,Karachi,2024-07-13
C00045,Regular,Rawalpindi,2025-10-19
C00046,Regular,Karachi,2024-05-19
C00047,Family,Islamabad,2023-05-17
C00048,Regular,Karachi,2023-02-21
C00049,Regular,Rawalpindi,2023-07-19
C00050,Small Business,Karachi,2024-04-07
C00051,Regular,Faisalabad,2024-04-15
C00052,Small Business,Faisalabad,2023-11-21
C00053,Regular,Lahore,2024-10-23
C00054,Regular,Islamabad,2023-09-22
C00055,Family,Karachi,2023-09-29
C00056,Family,Rawalpindi,2025-09-17
C00057,Small Business,Islamabad,2024-07-22
C00058,Regular,Rawalpindi,2024-09-29
C00059,Family,Peshawar,2024-09-01
C00060,Regular,Karachi,2023-06-14
C00061,Regular,Rawalpindi,2024-09-11
C00062,Regular,Peshawar,2025-03-17
C00063,Regular,Karachi,2023-02-15
C00064,Regular,Rawalpindi,2024-01-29
C00065,Regular,Lahore,2023-10-25
C00066,Family,Lahore,2024-09-29
C00067,Regular,Karachi,2025-08-22
C00068,Regular,Islamabad,2024-02-09
C00069,Regular,Karachi,2023-03-11
C00070,Small Business,Islamabad,2024-11-11
C00071,Regular,Lahore,2023-11-26
C00072,Regular,Faisalabad,2024-12-27
C00073,Regular,Islamabad,2023-05-30
C00074,Family,Karachi,2023-10-29
C00075,Regular,Rawalpindi,2024-02-18
C00076,Family,Rawalpindi,2025-06-04
C00077,Family,Lahore,2024-08-08
C00078,Regular,Islamabad,2024-10-20
C00079,Premium,Rawalpindi,2025-01-21
C00080,Small Business,Lahore,2024-10-06
C00081,Regular,Karachi,2025-07-29
C00082,Regular,Peshawar,2023-08-21
C00083,Family,Peshawar,2024-11-10
C00084,Regular,Lahore,2023-09-28
C00085,Premium,Faisalabad,2024-08-16
C00086,Small Business,Peshawar,2024-02-26
C00087,Regular,Lahore,2025-09-04
C00088,Family,Islamabad,2023-02-06
C00089,Regular,Rawalpindi,2024-08-07
C00090,Family,Karachi,2023-02-28
C00091,Regular,Lahore,2024-01-24
C00092,Regular,Islamabad,2024-12-06
C00093,Small Business,Peshawar,2023-09-12
C00094,Regular,Karachi,2023-12-04
C00095,Premium,Islamabad,2024-12-20
C00096,Regular,Peshawar,2025-02-06
C00097,Premium,Lahore,2024-11-19
C00098,Regular,Rawalpindi,2023-03-21
C00099,Regular,Rawalpindi,2023-12-27
C00100,Regular,Lahore,2025-02-27
C00101,Family,Faisalabad,2025-07-08
C00102,Regular,Karachi,2023-08-17
C00103,Regular,Rawalpindi,2024-02-25
C00104,Family,Islamabad,2025-07-15
C00105,Family,Islamabad,2023-05-13
C00106,Regular,Rawalpindi,2025-08-23
C00107,Family,Peshawar,2024-02-05
C00108,Regular,Rawalpindi,2025-01-04
C00109,Premium,Peshawar,2024-04-13
C00110,Premium,Rawalpindi,2024-02-24
C00111,Regular,Lahore,2024-02-05
C00112,Family,Islamabad,2023-01-28
C00113,Regular,Islamabad,2025-08-27
C00114,Regular,Rawalpindi,2025-03-21
C00115,Family,Faisalabad,2025-09-10
C00116,Family,Karachi,2024-08-22
C00117,Regular,Rawalpindi,2025-10-20
C00118,Premium,Rawalpindi,2023-03-29
C00119,Small Business,Islamabad,2024-01-17
C00120,Regular,Karachi,2024-08-30
C00121,Regular,Faisalabad,2024-05-26
C00122,Regular,Karachi,2023-01-07
C00123,Premium,Karachi,2023-04-19
C00124,Regular,Rawalpindi,2024-04-25
C00125,Premium,Karachi,2025-05-30
C00126,Regular,Lahore,2024-10-15
C00127,Regular,Karachi,2023-11-02
C00128,Small Business,Rawalpindi,2025-05-04
C00129,Premium,Karachi,2025-08-04
C00130,Regular,Rawalpindi,2023-11-06
C00131,Regular,Rawalpindi,2025-09-05
C00132,Family,Islamabad,2023-09-05
C00133,Family,Rawalpindi,2024-09-06
C00134,Premium,Islamabad,2023-12-19
C00135,Family,Lahore,2025-02-05
C00136,Regular,Karachi,2023-03-05
C00137,Regular,Rawalpindi,2023-02-27
C00138,Regular,Karachi,2025-09-19
C00139,Regular,Karachi,2023-07-08
C00140,Regular,Faisalabad,2025-07-26
C00141,Family,Peshawar,2024-12-11
C00142,Small Business,Faisalabad,2024-10-03
C00143,Premium,Faisalabad,2025-02-12
C00144,Regular,Faisalabad,2023-03-21
C00145,Premium,Faisalabad,2023-02-23
C00146,Regular,Faisalabad,2023-03-31
C00147,Premium,Rawalpindi,2023-01-22
C00148,Regular,Islamabad,2025-09-19
C00149,Family,Faisalabad,2024-04-21
C00150,Regular,Rawalpindi,2023-05-14
C00151,Family,Peshawar,2023-12-03
C00152,Small Business,Faisalabad,2023-06-05
C00153,Premium,Lahore,2025-08-21
C00154,Regular,Rawalpindi,2025-04-16
C00155,Regular,Karachi,2023-01-08
C00156,Family,Peshawar,2023-11-18
C00157,Family,Islamabad,2024-11-30
C00158,Small Business,Peshawar,2024-03-14
C00159,Premium,Karachi,2023-08-27
C00160,Premium,Faisalabad,2024-03-12
C00161,Family,Rawalpindi,2024-03-29
C00162,Regular,Faisalabad,2025-01-15
C00163,Small Business,Islamabad,2024-08-13
C00164,Regular,Karachi,2024-05-18
C00165,Regular,Faisalabad,2024-10-16
C00166,Family,Lahore,2025-05-14
C00167,Family,Islamabad,2023-04-09
C00168,Family,Faisalabad,2024-06-12
C00169,Family,Lahore,2025-03-16
C00170,Regular,Rawalpindi,2023-11-06
C00171,Premium,Faisalabad,2025-07-12
C00172,Family,Peshawar,2023-07-27
C00173,Regular,Faisalabad,2023-02-06
C00174,Family,Karachi,2025-03-15
C00175,Regular,Islamabad,2025-03-24
C00176,Family,Lahore,2023-08-22
C00177,Regular,Lahore,2025-11-24
C00178,Regular,Lahore,2024-10-10
C00179,Regular,Islamabad,2023-02-08
C00180,Regular,Rawalpindi,2024-10-02
C00181,Family,Rawalpindi,2024-01-07
C00182,Regular,Islamabad,2025-10-22
C00183,Regular,Rawalpindi,2023-10-20
C00184,Regular,Rawalpindi,2023-04-06
C00185,Family,Karachi,2025-07-22
C00186,Small Business,Lahore,2023-08-10
C00187,Family,Lahore,2023-12-16
C00188,Small Business,Islamabad,2024-12-05
C00189,Family,Rawalpindi,2023-12-16
C00190,Premium,Rawalpindi,2023-12-19
C00191,Family,Rawalpindi,2024-06-11
C00192,Premium,Rawalpindi,2023-05-17
C00193,Regular,Rawalpindi,2024-07-31
C00194,Family,Rawalpindi,2025-08-11
C00195,Regular,Rawalpindi,2025-11-23
C00196,Regular,Karachi,2025-02-18
C00197,Family,Rawalpindi,2024-09-24
C00198,Regular,Rawalpindi,2023-08-26
C00199,Small Business,Karachi,2025-07-18
C00200,Regular,Karachi,2023-04-12
C00201,Regular,Karachi,2025-01-26
C00202,Regular,Lahore,2025-06-16
C00203,Regular,Islamabad,2024-05-09
C00204,Regular,Peshawar,2024-08-30
C00205,Regular,Lahore,2025-05-14
C00206,Regular,Faisalabad,2025-09-17
C00207,Family,Islamabad,2023-02-05
C00208,Regular,Islamabad,2024-07-04
C00209,Regular,Faisalabad,2024-03-12
C00210,Family,Rawalpindi,2023-09-03
C00211,Family,Faisalabad,2025-07-09
C00212,Family,Karachi,2023-05-23
C00213,Regular,Rawalpindi,2023-12-24
C00214,Regular,Lahore,2024-03-21
C00215,Regular,Rawalpindi,2023-08-30
C00216,Small Business,Peshawar,2024-12-29
C00217,Regular,Karachi,2024-11-12
C00218,Premium,Karachi,2023-01-05
C00219,Regular,Rawalpindi,2023-06-15
C00220,Premium,Islamabad,2024-02-26
C00221,Small Business,Rawalpindi,2025-07-26
C00222,Family,Karachi,2024-03-06
C00223,Premium,Faisalabad,2024-03-29
C00224,Premium,Rawalpindi,2024-12-15
C00225,Regular,Lahore,2025-04-19
C00226,Regular,Peshawar,2023-07-27
C00227,Small Business,Rawalpindi,2024-12-14
C00228,Family,Karachi,2025-07-22
C00229,Premium,Peshawar,2025-08-05
C00230,Regular,Karachi,2023-12-13
C00231,Premium,Islamabad,2025-03-29
C00232,Premium,Karachi,2025-05-30
C00233,Family,Islamabad,2023-06-12
C00234,Small Business,Rawalpindi,2025-05-31
C00235,Small Business,Peshawar,2025-09-13
C00236,Premium,Karachi,2025-07-31
C00237,Regular,Islamabad,2025-07-17
C00238,Regular,Karachi,2023-10-03
C00239,Regular,Lahore,2024-06-14
C00240,Regular,Peshawar,2025-06-13
C00241,Family,Karachi,2023-04-05
C00242,Regular,Lahore,2023-09-03
C00243,Regular,Karachi,2023-08-10
C00244,Small Business,Islamabad,2024-03-01
C00245,Regular,Lahore,2023-05-03
C00246,Premium,Islamabad,2023-07-09
C00247,Family,Rawalpindi,2025-11-15
C00248,Regular,Rawalpindi,2024-05-30
C00249,Regular,Lahore,2025-05-18
C00250,Family,Rawalpindi,2023-03-22
C00251,Regular,Rawalpindi,2023-02-23
C00252,Small Business,Peshawar,2025-10-16
C00253,Premium,Islamabad,2025-10-20
C00254,Family,Lahore,2023-01-14
C00255,Family,Karachi,2023-09-18
C00256,Regular,Islamabad,2024-06-12
C00257,Family,Lahore,2024-11-14
C00258,Family,Rawalpindi,2025-06-11
C00259,Regular,Peshawar,2023-01-11
C00260,Regular,Islamabad,2023-05-22
C00261,Small Business,Islamabad,2023-01-24
C00262,Regular,Lahore,2024-09-27
C00263,Regular,Karachi,2024-07-29
C00264,Regular,Peshawar,2024-07-19
C00265,Regular,Lahore,2023-08-03
C00266,Regular,Faisalabad,2025-03-17
C00267,Small Business,Karachi,2025-08-31
C00268,Regular,Faisalabad,2025-01-14
C00269,Regular,Peshawar,2025-11-14
C00270,Regular,Peshawar,2025-05-28
C00271,Regular,Islamabad,2023-03-31
C00272,Regular,Peshawar,2025-04-24
C00273,Regular,Karachi,2024-10-20
C00274,Family,Islamabad,2024-09-12
C00275,Small Business,Islamabad,2023-08-02
C00276,Regular,Islamabad,2024-01-08
C00277,Family,Lahore,2024-01-15
C00278,Regular,Islamabad,2023-04-25
C00279,Family,Rawalpindi,2023-12-22
C00280,Small Business,Islamabad,2023-06-24
C00281,Regular,Islamabad,2024-04-29
C00282,Family,Islamabad,2025-07-16
C00283,Premium,Islamabad,2025-03-02
C00284,Family,Faisalabad,2023-10-11
C00285,Regular,Karachi,2024-09-12
C00286,Regular,Karachi,2025-08-10
C00287,Family,Faisalabad,2025-10-08
C00288,Family,Lahore,2023-11-22
C00289,Regular,Faisalabad,2023-11-24
C00290,Regular,Karachi,2023-03-02
C00291,Regular,Rawalpindi,2025-03-27
C00292,Regular,Karachi,2023-11-05
C00293,Family,Rawalpindi,2024-01-15
C00294,Small Business,Islamabad,2024-02-14
C00295,Premium,Islamabad,2023-04-16
C00296,Regular,Faisalabad,2023-04-21
C00297,Premium,Rawalpindi,2024-09-11
C00298,Regular,Peshawar,2024-04-02
C00299,Regular,Rawalpindi,2023-12-17
C00300,Regular,Islamabad,2025-04-29
C00301,Regular,Lahore,2023-08-18
C00302,Regular,Islamabad,2024-03-16
C00303,Premium,Karachi,2023-12-03
C00304,Family,Rawalpindi,2024-06-09
C00305,Small Business,Karachi,2023-05-21
C00306,Family,Islamabad,2025-11-29
C00307,Small Business,Islamabad,2023-11-09
C00308,Family,Islamabad,2023-08-18
C00309,Family,Faisalabad,2025-01-14
C00310,Small Business,Rawalpindi,2024-08-02
C00311,Premium,Lahore,2025-03-04
C00312,Regular,Rawalpindi,2025-11-17
C00313,Regular,Islamabad,2025-01-12
C00314,Premium,Islamabad,2024-06-11
C00315,Family,Lahore,2023-12-10
C00316,Regular,Lahore,2024-09-21
C00317,Small Business,Faisalabad,2025-08-28
C00318,Family,Peshawar,2024-08-05
C00319,Regular,Peshawar,2024-08-11
C00320,Family,Islamabad,2023-05-03
C00321,Premium,Lahore,2024-04-12
C00322,Regular,Islamabad,2025-02-01
C00323,Family,Peshawar,2025-05-24
C00324,Regular,Rawalpindi,2025-08-29
C00325,Premium,Rawalpindi,2024-11-22
C00326,Regular,Rawalpindi,2025-09-13
C00327,Regular,Islamabad,2023-03-08
C00328,Regular,Faisalabad,2024-09-16
C00329,Regular,Lahore,2023-10-02
C00330,Regular,Lahore,2024-01-11
C00331,Regular,Karachi,2025-10-04
C00332,Family,Rawalpindi,2024-12-20
C00333,Family,Peshawar,2024-04-17
C00334,Regular,Peshawar,2025-10-03
C00335,Family,Islamabad,2024-02-27
C00336,Family,Lahore,2025-11-07
C00337,Premium,Islamabad,2023-11-08
C00338,Family,Rawalpindi,2023-10-29
C00339,Regular,Rawalpindi,2024-11-16
C00340,Family,Karachi,2025-09-23
C00341,Regular,Rawalpindi,2023-03-25
C00342,Small Business,Lahore,2025-02-16
C00343,Small Business,Lahore,2024-03-16
C00344,Regular,Peshawar,2025-07-17
