order_id,customer_id,order_date,order_status,sales_channel,shipping_city,courier_name,payment_method,promo_code
UB-000001,C00340,2025-07-22,Completed,Marketplace,Karachi,BlueLine,Cash on Delivery,
UB-000002,C00762,2025-05-16,Cancelled,Mobile App,Lahore,SwiftEx,Wallet,
UB-000003,C00640,2024-09-06,Returned,Web,Peshawar,BlueLine,Card,APP5
UB-000004,C00370,2024-06-25,Completed,Mobile App,Faisalabad,BlueLine,Wallet,
UB-000005,C01275,2025-01-21,Completed,Web,Karachi,RapidGo,Cash on Delivery,SAVE15
UB-000006,C00053,2024-08-05,Completed,Web,Lahore,SwiftEx,Card,
UB-000007,C00927,2025-03-23,Completed,Web,Lahore,BlueLine,Cash on Delivery,
UB-000008,C00423,2025-09-15,Completed,Mobile App,Karachi,SwiftEx,Wallet,SAVE15
UB-000009,C00423,2025-08-24,Cancelled,Mobile App,Karachi,RapidGo,Cash on Delivery,
UB-000010,C01113,2025-05-06,Completed,Mobile App,Islamabad,BlueLine,Bank Transfer,SAVE15
UB-000011,C01258,2025-12-19,Completed,Web,Rawalpindi,RapidGo,Cash on Delivery,
UB-000012,C00351,2025-07-12,Completed,Mobile App,Islamabad,SwiftEx,Cash on Delivery,
UB-000013,C00370,2025-07-28,Completed,Marketplace,Faisalabad,BlueLine,Bank Transfer,SAVE15
UB-000014,C00838,2025-05-04,Completed,Mobile App,Rawalpindi,SwiftEx,Card,SAVE15
UB-000015,C00625,2025-11-02,Returned,Mobile App,Islamabad,SwiftEx,Cash on Delivery,APP5
UB-000016,C00411,2024-01-01,Completed,Mobile App,Karachi,BlueLine,Card,
UB-000017,C00245,2025-11-27,Completed,Mobile App,Lahore,BlueLine,Cash on Delivery,
UB-000018,C00310,2025-07-13,Completed,Mobile App,Rawalpindi,Store Pickup,Card,
UB-000019,C00520,2025-04-05,Completed,Web,Rawalpindi,BlueLine,Cash on Delivery,
UB-000020,C00444,2024-01-18,Completed,Web,Faisalabad,Store Pickup,Bank Transfer,
UB-000021,C01273,2024-08-01,Completed,Mobile App,Islamabad,Store Pickup,Cash on Delivery,
UB-000022,C00553,2024-02-18,Completed,Mobile App,Lahore,RapidGo,Card,
UB-000023,C01185,2024-04-27,Completed,Web,Faisalabad,SwiftEx,Wallet,
UB-000024,C01257,2025-05-01,Completed,Web,Rawalpindi,SwiftEx,Cash on Delivery,
UB-000025,C01340,2024-02-26,Completed,Marketplace,Karachi,Store Pickup,Cash on Delivery,
UB-000026,C00847,2025-12-04,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,FREESHIP
UB-000027,C00191,2025-04-19,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,
UB-000028,C01599,2025-12-03,Completed,Web,Rawalpindi,RapidGo,Card,
UB-000029,C00751,2025-11-05,Completed,Web,Rawalpindi,BlueLine,Wallet,
UB-000030,C00494,2024-10-31,Completed,Web,Faisalabad,BlueLine,Cash on Delivery,SAVE15
UB-000031,C00290,2025-05-31,Completed,Web,Karachi,Store Pickup,Cash on Delivery,
UB-000032,C00193,2024-04-26,Completed,Web,Rawalpindi,BlueLine,Card,WELCOME10
UB-000033,C00305,2025-02-27,Completed,Mobile App,Karachi,BlueLine,Card,APP5
UB-000034,C00434,2025-05-02,Completed,Web,Karachi,SwiftEx,Cash on Delivery,
UB-000035,C00629,2025-10-15,Completed,Web,Rawalpindi,SwiftEx,Card,
UB-000036,C01145,2024-11-04,Completed,Web,Rawalpindi,BlueLine,Cash on Delivery,
UB-000037,C00177,2025-05-05,Completed,Web,Lahore,BlueLine,Wallet,
UB-000038,C00440,2025-06-03,Completed,Mobile App,Lahore,RapidGo,Wallet,
UB-000039,C00156,2024-12-16,Completed,Mobile App,Peshawar,RapidGo,Cash on Delivery,SAVE15
UB-000040,C01306,2025-09-26,Completed,Mobile App,Rawalpindi,RapidGo,Cash on Delivery,APP5
UB-000041,C00887,2025-08-26,Completed,Web,Karachi,BlueLine,Cash on Delivery,
UB-000042,C00055,2025-02-18,Completed,Web,Karachi,Store Pickup,Wallet,FREESHIP
UB-000043,C00649,2025-07-20,Completed,Mobile App,Rawalpindi,BlueLine,Wallet,
UB-000044,C00157,2024-06-22,Completed,Mobile App,Islamabad,SwiftEx,Cash on Delivery,WELCOME10
UB-000045,C01147,2025-11-09,Returned,Web,Karachi,BlueLine,Wallet,
UB-000046,C00097,2024-07-10,Completed,Web,Lahore,BlueLine,Cash on Delivery,
UB-000047,C00715,2025-08-14,Completed,Web,Lahore,RapidGo,Wallet,SAVE15
UB-000048,C01416,2025-05-30,Completed,Web,Rawalpindi,SwiftEx,Wallet,
UB-000049,C00710,2024-08-25,Completed,Mobile App,Karachi,BlueLine,Cash on Delivery,APP5
UB-000050,C01069,2024-04-20,Completed,Web,Rawalpindi,SwiftEx,Card,APP5
UB-000051,C00991,2025-11-21,Completed,Mobile App,Lahore,Store Pickup,Cash on Delivery,
UB-000052,C00200,2025-05-14,Completed,Web,Karachi,RapidGo,Bank Transfer,
UB-000053,C01418,2024-12-31,Completed,Mobile App,Islamabad,SwiftEx,Bank Transfer,
UB-000054,C00277,2024-01-31,Completed,Mobile App,Lahore,BlueLine,Wallet,APP5
UB-000055,C01112,2024-01-23,Completed,Mobile App,Faisalabad,RapidGo,Wallet,
UB-000056,C00848,2025-01-01,Completed,Web,Karachi,SwiftEx,Card,SAVE15
UB-000057,C01579,2025-06-03,Completed,Web,Rawalpindi,BlueLine,Cash on Delivery,
UB-000058,C00499,2024-04-26,Completed,Web,Rawalpindi,RapidGo,Card,
UB-000059,C01222,2024-11-23,Completed,Web,Peshawar,BlueLine,Card,
UB-000060,C00199,2025-12-13,Completed,Mobile App,Karachi,BlueLine,Card,
UB-000061,C00913,2024-12-30,Completed,Web,Islamabad,SwiftEx,Card,
UB-000062,C01377,2024-05-04,Completed,Mobile App,Rawalpindi,RapidGo,Card,
UB-000063,C00609,2025-07-30,Completed,Web,Islamabad,Store Pickup,Wallet,
UB-000064,C00541,2025-02-02,Completed,Web,Islamabad,RapidGo,Cash on Delivery,APP5
