month,net_revenue,gross_profit,orders
2024-01-01,884446.35,222834.82,387
2024-02-01,767570.91,189980.52,342
2024-03-01,898212.41,230836.4,435
2024-04-01,697296.76,180001.02,341
2024-05-01,781545.32,200955.0,362
2024-06-01,857904.28,217886.88999999998,381
2024-07-01,800506.51,208094.79,370
2024-08-01,767814.73,198118.08,375
2024-09-01,689467.25,174745.04,363
2024-10-01,884903.76,228747.08,392
2024-11-01,779775.16,202619.54,362
2024-12-01,729180.98,184443.32,374
2025-01-01,835292.06,206772.17,392
2025-02-01,748300.05,180542.27,359
2025-03-01,794208.67,202344.42,377
2025-04-01,708217.8,181261.52,339
2025-05-01,788738.0,200646.62,390
2025-06-01,743064.39,189410.28,366
2025-07-01,915165.28,232205.92,397
2025-08-01,848313.23,221531.64,379
2025-09-01,792552.54,199697.13,359
2025-10-01,797085.86,195919.26,379
2025-11-01,894112.66,224317.21,401
2025-12-01,841790.13,213270.8,378
