product_name,category_name,net_revenue,gross_profit,net_units
Face Wash 2,Personal Care,312580.27999999997,104505.08,240
Coffee 3,Beverages,298239.73,102842.39,226
Burger Buns 3,Bakery,290393.82,85360.38,237
Cream 2,Dairy & Eggs,287393.92,96204.61,221
Onions 1,Fresh Produce,272412.71,90112.46,209
Lotion 1,Personal Care,262755.09,84537.48999999999,220
Toothpaste 1,Personal Care,252596.71,83889.70999999999,220
Granola Bars 2,Snacks,251912.74,71937.28,217
Chocolate 3,Snacks,246802.65,62789.99999999999,207
Hand Wash 2,Personal Care,241949.93,80338.37,198
Foil 3,Household,239877.01,78373.51,201
Tomatoes 3,Fresh Produce,239678.36,64335.70999999999,205
Cookies 3,Bakery,235474.3,41751.100000000006,240
Apples 2,Fresh Produce,232059.2,54927.95,235
Cooking Oil 1,Pantry,231501.5,45211.71,211
